para_id,doc_id,page_number,para_index_on_page,para_char_count,para_text
DOC_0002_P0009_01,DOC_0002,9,1,1,9
DOC_0002_P0009_02,DOC_0002,9,2,3565,"AGREEMENT ESTABLISHING IFAD
instalments shall be due on the first and on the second anniversary of the date on which the first
instalment was due.
Section 3 - Additional Contributions
In order to assure continuity in the operations of the Fund, the Governing Council shall periodically, at
such intervals as it deems appropriate, review the adequacy of the resources available to the Fund;
the first such review shall take place not later than three years after the Fund commences operations.
If the Governing Council, as a result of such a review, deems it necessary or desirable, it may invite
Members to make additional contributions to the resources of the Fund on terms and conditions
consistent with Section 5 of this Article. Decisions under this Section shall be taken by a two-thirds
majority of the total number of votes.
Section 4 - Increases in Contributions
The Governing Council may authorize, at any time, a Member to increase the amount of any of its
contributions.
Section 5 - Conditions Governing Contributions
(a)  Contributions shall be made without restriction as to use and shall be refunded to contributing
Members only in accordance with Section 4 of Article 9.
(b)  Contributions shall be made in freely convertible currencies.
(c)  Contributions to the Fund shall be made in cash or, to the extent that any part of such contributions
is not needed immediately by the Fund in its operations, such part may be paid in the form of nonnegotiable, irrevocable, non-interest bearing promissory notes or obligations payable on demand.
In order to finance its operations, the Fund shall draw down all contributions (regardless of the
form in which they are made) as follows:
 (i)  contributions shall be drawn down on a pro rata basis over reasonable periods of time as
determined by the Executive Board;
(ii)  where a contribution is paid partly in cash, the part so paid shall be drawn down, in accordance
with paragraph (i), before the rest of the contribution. Except to the extent that the part paid in
cash is thus drawn down, it may be deposited or invested by the Fund to produce income to
help defray its administrative and other expenditures;
(iii)  all initial contributions, as well as any increases in them, shall be drawn down before any
additional contributions are drawn down. The same rule shall apply to further additional
contributions.
(d)  Notwithstanding subsection (c) above, contributions to the Fund may also be made in the form of
the grant element of a concessional partner loan; for this purpose, a “concessional partner loan”
shall mean a loan provided by a Member or one of its state-supported institutions, which includes
a grant element for the benefit of the Fund and is otherwise consistent with the Concessional
Partner Loan Framework approved by the Executive Board; and “state-supported institution” shall
mean any state-owned or state-controlled enterprise and development finance institution of a
Member, with the exception of multilateral institutions.
(e)
Notwithstanding subsection (c) above, contributions to the Fund may also be made in the form of
the discount or the credit generated from the early encashment of contributions in accordance
with the mechanism approved by the Governing Council.
Section 6 - Special Contributions
The resources of the Fund may be increased by special contributions from non-member States or other
sources on such terms and conditions, consistent with Section 5 of this Article, as shall be approved
by the Governing Council on the recommendation of the Executive Board."
DOC_0002_P0010_01,DOC_0002,10,1,2,10
DOC_0002_P0010_02,DOC_0002,10,2,1399,"AGREEMENT ESTABLISHING IFAD
Section 7 - Borrowing Activities
The Fund shall be authorized to borrow funds from Member States or from other sources, buy and sell
securities that the Fund has issued or guaranteed, and exercise such powers incidental to its borrowing
activities as shall be necessary or desirable in furtherance of its purposes.
Article 5
CURRENCIES
Section 1 – Use of Currencies
(a)  Members shall not maintain or impose any restriction on the holding or use by the Fund of freely
convertible currencies.
(b)
The non-convertible currency contributions of a Member made to the Fund on account of that
Member’s initial or additional contributions prior to 26 January 1995 may be used by the Fund, in
consultation with the Member concerned, for the payment of administrative expenditures and
other costs of the Fund in the territories of that Member, or, with the consent of that Member, for
the payment of goods or services produced in its territories and required for activities financed by
the Fund in other States.
Section 2 – Valuation of Currencies
(a)  The unit of account of the Fund shall be the Special Drawing Right of the International Monetary
Fund.
(b)  For the purposes of this Agreement, the value of a currency in terms of the Special Drawing Right
shall be calculated in accordance with the method of valuation applied by the International
Monetary Fund, provided that:"
DOC_0002_P0010_03,DOC_0002,10,3,223,"(i) in the case of the currency of a member of the International Monetary Fund for which such
value is not available on a current basis, the value shall be calculated after consultation with
the International Monetary Fund;"
DOC_0002_P0010_04,DOC_0002,10,4,522,"(ii)  in the case of the currency of a non-member of the International Monetary Fund, the value of
the currency in terms of the Special Drawing Right shall be calculated by the Fund on the
basis of an appropriate exchange rate relationship between that currency and the currency of
a member of the International Monetary Fund for which a value is calculated as specified
above.
Article 6
ORGANIZATION AND MANAGEMENT
Section 1 – Structure of the Fund
The Fund shall have:
(a)  a Governing Council;
(b)   an Executive Board;"
DOC_0002_P0011_01,DOC_0002,11,1,2,11
DOC_0002_P0011_02,DOC_0002,11,2,2088,"AGREEMENT ESTABLISHING IFAD
(c)   a President and such staff as shall be necessary for the Fund to carry out its functions.
Section 2 - The Governing Council
(a)  Each Member shall be represented on the Governing Council and shall appoint one Governor
and an alternate. An alternate may vote only in the absence of his principal.
(b)  All the powers of the Fund shall be vested in the Governing Council.
(c)
The Governing Council may delegate any of its powers to the Executive Board1 with the exception
of the power to:
(i)  adopt amendments to this Agreement;
(ii)  approve membership;
(iii) suspend a Member;
(iv) terminate the operations of the Fund and distribute its assets;
(v) decide appeals from decisions made by the Executive Board concerning the interpretation or
application of this Agreement;
(vi) determine the remuneration of the President.
(d)  The Governing Council shall hold an annual session, and such special sessions as it may decide,
or as are called by Members having at least one-fourth of the total number of votes in the
Governing Council, or as requested by the Executive Board by a two-thirds majority of the votes
cast.
(e)  The Governing Council may by regulation establish a procedure whereby the Executive Board
may obtain a vote of the Council on a specific question without calling a meeting of the Council.
(f)
The Governing Council may, by a two-thirds majority of the total number of votes, adopt such
regulations and by-laws not inconsistent with this Agreement as may be appropriate to conduct
the business of the Fund.
(g)  A quorum for any meeting of the Governing Council shall be constituted by Governors exercising
two-thirds of the total votes of all its members.
Section 3 - Voting in the Governing Council
(a)  The total number of votes in the Governing Council shall be comprised of Original Votes and
Replenishment Votes. All Members shall have equal access to those votes on the following basis:
(i)  Original Votes shall consist of a total of one thousand eight hundred (1 800) votes made up
of membership votes and contribution votes:"
DOC_0002_P0011_03,DOC_0002,11,3,249,"(A) membership votes shall be distributed equally among all Members; and
(B) contribution votes shall be distributed among all Members in the proportion that each
Member’s cumulative paid contributions to the resources of the Fund, authorized by the"
DOC_0002_P0011_04,DOC_0002,11,4,116,"1 The Governing Council, at its First Session on 16 December 1977, adopted Resolution 77/2, which stated as follows:"
DOC_0002_P0011_05,DOC_0002,11,5,83,"“Resolution 77/2
Delegation of Powers to the Executive Board
The Governing Council,"
DOC_0002_P0011_06,DOC_0002,11,6,110,"Pursuant to Article 6.2(c) of the Agreement Establishing the Fund and to Section 7 of the By-laws of the Fund,"
