doc_id,igo_id,igo_name,doc_family,doc_type,filename,local_path,file_ext,file_bytes,sha256,bundle_relpath,source_url,access_date,extraction_method,page_count,pages_with_text,empty_pages,pct_pages_with_text,page_load_errors,extraction_quality_flag,source_note
DOC_0026,ramsar,Ramsar Convention on Wetlands Secretariat (Ramsar),Foundational / legal,Convention / treaty,Ramsar COnvention.pdf,/mnt/data/Ramsar COnvention.pdf,.pdf,2685932,43235038efc11376f32b8b3c12e1e9a71dab8948362f2498f933ca3f957402fd,data/raw/igo_documents/Ramsar COnvention.pdf,,,pymupdf_text,116.0,114.0,2.0,0.9828,0.0,ok,Provided (local copy)
DOC_0027,unctad,United Nations Conference on Trade and Development (UNCTAD),Foundational / legal,Rules / regulations,Rules of procedure_UNCTAD.pdf,/mnt/data/Rules of procedure_UNCTAD.pdf,.pdf,926157,d927fdae526da0fb44ff1dd3726092d5935b54d51cc562f8e378825991126d90,data/raw/igo_documents/Rules of procedure_UNCTAD.pdf,,,pymupdf_text,135.0,128.0,7.0,0.9481,0.0,ok,Provided (local copy)
DOC_0028,unhcr_ohchr,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",Foundational / legal,Statute,Statute of the Office of the UN High Commissioner for Refugees.pdf,/mnt/data/Statute of the Office of the UN High Commissioner for Refugees.pdf,.pdf,84869,cb65d5e997dbcb731fa940802ebef29d2a08aacfd510dcdb0ba2c13384af79d0,data/raw/igo_documents/Statute of the Office of the UN High Commissioner for Refugees.pdf,,,pymupdf_text,16.0,14.0,2.0,0.875,0.0,ok,Provided (local copy)
DOC_0029,un_doalos,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),Other / governance instrument,Document,UN DAOLOS.pdf,/mnt/data/UN DAOLOS.pdf,.pdf,258652,6ea7b3eb6c6d1a16eac350d840856936428243213e976ca54c82afadf10eb4ac,data/raw/igo_documents/UN DAOLOS.pdf,,,pymupdf_text,9.0,9.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0030,unicef,United Nations Children’s Fund (UNICEF),Foundational / legal,Resolution / decision,UN General Assembly resolution creating UNICEF.pdf,/mnt/data/UN General Assembly resolution creating UNICEF.pdf,.pdf,375119,cf59404d9f7f0afdcfbc6dd88b72a2beeabb5659028a301ce29becd0fbb1e8ca,data/raw/igo_documents/UN General Assembly resolution creating UNICEF.pdf,,,pymupdf_text,6.0,6.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0031,ungc,UN Global Compact Office,Other / governance instrument,Document,UN Global Compact.pdf,/mnt/data/UN Global Compact.pdf,.pdf,654821,34d0119baee967f3770e56917b132af0c14980bb8eee340b748e322aa7fccc03,data/raw/igo_documents/UN Global Compact.pdf,,,pymupdf_text,40.0,38.0,2.0,0.95,0.0,ok,Provided (local copy)
DOC_0032,unfpa,UN Population Fund (UNFPA),Foundational / legal,Resolution / decision,UN Population Fund Resolution.pdf,/mnt/data/UN Population Fund Resolution.pdf,.pdf,241226,8890ec900a9ea325386ec58d0dc0af0ac9037c8b47da3278ec23131fd20cc974,data/raw/igo_documents/UN Population Fund Resolution.pdf,,,pymupdf_text,2.0,0.0,2.0,0.0,0.0,low_text_density,Provided (local copy)
DOC_0033,un_women,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),Foundational / legal,Resolution / decision,UN Women Resolution.pdf,/mnt/data/UN Women Resolution.pdf,.pdf,141404,3acc9f96e4ab500a524b9c462caddcb1aaab8cdd76b5cd2826a278fa04edda9f,data/raw/igo_documents/UN Women Resolution.pdf,,,pymupdf_text,14.0,14.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0034,unccd,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),Foundational / legal,Convention / treaty,UNCCD_Convention_ENG_0_0.pdf,/mnt/data/UNCCD_Convention_ENG_0_0.pdf,.pdf,818293,fb821c383d355e8998485711038d9fdd28599cddfdbe03a0a5205c514ed8969c,data/raw/igo_documents/UNCCD_Convention_ENG_0_0.pdf,,,pymupdf_text,56.0,54.0,2.0,0.9643,0.0,ok,Provided (local copy)
DOC_0035,unctad,United Nations Conference on Trade and Development (UNCTAD),Foundational / legal,Resolution / decision,UNCTAD Resolution.pdf,/mnt/data/UNCTAD Resolution.pdf,.pdf,425682,c40ee1852eb11724e980f68de36f0f25804b510d4565ce3f96dff2cda19ccc6d,data/raw/igo_documents/UNCTAD Resolution.pdf,,,pymupdf_text,5.0,5.0,0.0,1.0,0.0,ok,Provided (local copy)
